lemma	pos	#_semcor	#_omsti	#_omsti_sample
new	a	276	0	0
talk_about	v	103	0	0
childish	a	0	0	0
hope	n	53	0	0
risk	n	19	0	0
handful	n	5	0	0
visible	a	13	0	0
doctoral	a	0	0	0
search	n	25	0	0
good	a	171	0	0
stairs	n	45	0	0
encourage	v	103	0	0
explain	v	124	0	0
understand	v	317	0	0
sense	n	74	0	0
useful	a	16	0	0
sunday	n	33	0	0
system	n	128	0	0
speak	v	284	0	0
accumulation	n	16	0	0
writer	n	79	0	0
laboratory	n	21	0	0
art	n	76	0	0
decline	v	97	0	0
degree	n	183	0	0
normally	r	132	0	0
report	n	106	0	0
earlier	r	103	0	0
able	a	68	0	0
belief	n	72	0	0
chaotic	a	0	0	0
usually	r	132	0	0
yet	r	341	0	0
reckon	v	518	0	0
retinoblastoma	n	0	0	0
job	n	296	0	0
publish	v	121	0	0
educational	a	6	0	0
simply	r	562	0	0
spread	v	83	0	0
diminish	v	33	0	0
circumstance	n	57	0	0
crucial	a	8	0	0
education	n	60	0	0
process	n	102	0	0
explode	v	35	0	0
decade	n	36	0	0
propel	v	23	0	0
theological	a	15	0	0
found	v	1547	0	0
suppressor_gene	n	0	0	0
purpose	n	169	0	0
romantic	a	6	0	0
eloquently	r	0	0	0
see	v	1629	0	0
difference	n	98	0	0
still	r	494	0	0
frustrating	a	0	0	0
conversely	r	5	0	0
announce	v	103	0	0
appreciate	v	32	0	0
role	n	160	0	0
want	v	513	0	0
first	r	120	0	0
initial	a	0	0	0
finally	r	111	0	0
unsuccessful	a	2	0	0
need	n	120	0	0
change	n	116	0	0
commitment	n	7	0	0
ton	n	10	0	0
witness	v	181	0	0
discovery	n	22	0	0
before	r	122	0	0
damage	n	29	0	0
flip	v	37	0	0
church	n	131	0	0
demagogic	a	0	0	0
completeness	n	2	0	0
beforehand	r	4	0	0
state	n	335	0	0
doubt	n	37	0	0
complex	a	28	0	0
likely	a	70	0	0
surprisingly	r	8	0	0
invent	v	37	0	0
inverted	a	0	0	0
pediatrician	n	0	0	0
everywhere	r	23	0	0
file	v	76	0	0
effective	a	27	0	0
mathematical	a	3	0	0
fundamental	a	0	0	0
psychology	n	5	0	0
high	a	187	0	0
say	v	2350	0	0
ambitious	a	4	0	0
best	a	260	0	0
skilled	a	11	0	0
defect	n	12	0	0
come_close	v	10	0	0
bell_ringing	n	0	0	0
person	n	6768	0	0
faithful	n	34	0	0
parishioner	n	1	0	0
ask	v	811	0	0
round	n	18	0	0
anticipated	a	0	0	0
over	a	0	0	0
tissue	n	43	0	0
chemical	n	6	0	0
several	a	0	0	0
parish	n	3	0	0
sign	v	55	0	0
irksome	a	0	0	0
academic	a	18	0	0
couple	n	39	0	0
govern	v	41	0	0
study	n	237	0	0
pull	v	147	0	0
mystery	n	29	0	0
proliferate	v	0	0	0
potential	n	15	0	0
aim	v	62	0	0
world	n	271	0	0
teaching	n	55	0	0
establishment	n	63	0	0
answer	n	106	0	0
length	n	53	0	0
progressive	a	3	0	0
spend	v	141	0	0
evoke	v	76	0	0
striking	n	6	0	0
complicated	a	0	0	0
first	a	213	0	0
conscientious	a	0	0	0
dress	v	37	0	0
administrative	a	16	0	0
latter	a	52	0	0
tower	n	10	0	0
rush	v	65	0	0
story	n	146	0	0
fairly	r	57	0	0
flightiness	n	0	0	0
youth	n	29	0	0
priority	n	9	0	0
birth	n	9	0	0
specific	a	39	0	0
piece	n	107	0	0
inherit	v	14	0	0
work_up	v	39	0	0
alter	v	121	0	0
rhythm	n	24	0	0
narrow	a	18	0	0
foot	n	160	0	0
continental	a	3	0	0
worship	n	12	0	0
already	r	103	0	0
simple	a	54	0	0
solemn	a	0	0	0
researcher	n	11	0	0
critical	a	15	0	0
leader	n	23	0	0
silly	a	0	0	0
constituency	n	0	0	0
no.	n	8	0	0
better	a	260	0	0
conceptual	a	0	0	0
frequency	n	27	0	0
nail	v	51	0	0
probably	r	119	0	0
watch	v	230	0	0
feelings	n	158	0	0
undemocratic	a	0	0	0
rope	n	4	0	0
advance	n	29	0	0
truant	a	0	0	0
instruction	n	64	0	0
malignancy	n	1	0	0
inclined	a	4	0	0
almost	r	217	0	0
know	v	930	0	0
mouse	n	15	0	0
structured	a	12	0	0
sociological	a	2	0	0
attach	v	38	0	0
one	n	79	0	0
understanding	n	65	0	0
